episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
60,1.0,5.3314881602549065,-6.351635255088703,178.7396732301172,-30.0,0.5,0,0.0,False,True,0.22567969924110848,1,62.13206519556659,859.09,prepare,0.0
60,2.0,5.331707271063039,-6.351787043400778,178.80162872699455,-30.0,1.0,1,12.266256270565066,False,True,0.2253251254113013,1,62.13206519556659,859.153,in_progress,0.0
60,3.0,5.326798250092497,-6.352312950374234,179.16671369469793,0.0,4.0,11,23.773971079618704,False,True,0.23321913238856107,1,62.13206519556659,859.223,in_progress,0.0
60,4.0,5.31030809210279,-6.347295891512287,178.3714621583984,20.0,1.5,16,8.745566009855924,False,True,0.25982264039423697,1,62.13206519556659,859.291,in_progress,0.0
60,5.0,5.281100637032763,-6.355376186505038,-179.67721813461407,-20.0,1.5,4,8.3845403119042,False,True,0.30672701559521,1,62.13206519556659,859.35,in_progress,0.0
60,6.0,5.2160722298352455,-6.360799286571941,-178.64003491450993,30.0,1.0,19,7.855272088080904,False,True,0.4113163252848542,2,62.13206519556659,859.426,in_progress,0.0
60,7.0,5.186530096228125,-6.357117141730315,-179.83312053282216,0.0,3.0,9,15.555843103284793,False,True,0.45890901722993566,2,62.13206519556659,859.488,in_progress,0.0
60,8.0,5.131887396998871,-6.356440615494601,179.87957419421997,-30.0,1.5,2,9.085761632883411,False,True,0.546860930630673,2,62.13206519556659,859.556,in_progress,0.0
60,9.0,5.056508221328983,-6.338961266204215,176.18623108373168,-20.0,2.0,5,11.426671723398982,False,True,0.6684004551059084,3,62.13206519556659,859.627,in_progress,0.0
60,10.0,4.973691184909175,-6.302640434700088,169.41796169706862,30.0,1.5,20,10.261705954178858,False,True,0.8011705954178857,3,62.13206519556659,859.687,in_progress,0.0
60,11.0,4.893171074327409,-6.264554120268061,163.87590851013772,10.0,3.0,14,17.458661060613466,False,True,0.9304527166674811,3,62.13206519556659,859.757,in_progress,0.0
60,12.0,4.79256816686577,-6.229606571441347,162.25334542462787,30.0,0.5,18,9.350690283687397,False,True,1.0920828340424877,4,62.13206519556659,859.827,in_progress,0.0
60,13.0,4.705795496856184,-6.203725109630152,161.5307933146999,30.0,0.5,18,9.69957608119203,False,True,1.2284448905549639,4,62.13206519556659,859.889,in_progress,0.0
60,14.0,4.639934717727947,-6.183904888517198,161.85800101567426,10.0,3.0,14,18.527525260374432,False,True,1.3338535364524202,4,62.13206519556659,859.953,in_progress,0.0
60,15.0,4.558350574164398,-6.165907510575052,163.5581375908887,10.0,2.5,13,16.01411562173706,False,True,1.4646173432605587,5,62.13206519556659,860.027,in_progress,0.0
60,16.0,4.463380392527406,-6.149916838514762,166.03870414206867,10.0,3.0,14,19.10612745225255,False,True,1.6169803923604082,5,62.13206519556659,860.081,in_progress,0.0
60,17.0,4.358111993843906,-6.136652440178509,168.6171492708085,20.0,1.0,15,11.478703646490416,False,True,1.7813796199033707,5,62.13206519556659,860.147,in_progress,0.0
