Index, Steering Angle, Speed
0, 13.1, 2.9
1, 4.7, 1.8
2, -6.3, 2.5
3, 1.8, 2.1
4, 14.5, 1.6
5, -9.4, 3.4
6, 13.2, 2.4
7, -9.9, 2.1
8, 13.1, 2.0
9, -3.3, 3.0
10, 2.2, 3.8
11, -9.6, 1.6
12, -15.9, 2.7
13, 1.9, 2.4
14, 23.4, 1.6
15, -0.8, 1.6
16, 5.5, 3.3
17, 2.7, 2.8
18, 7.1, 1.6
19, 30.0, 1.5
20, -30.0, 1.5
