episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-4.022874251776337,-0.15451982657566624,-95.0033876847619,3.4613194316625595,1.1150903165340424,[3.4613194316625595, 1.1150903165340424],0.0,False,True,0.6064512958699882,1,23.090893150458665,7.877,prepare,0.0
0,2.0,-4.022829424580639,-0.15413165621941177,-95.00623357307018,2.609967067837715,1.1134231716394425,[2.609967067837715, 1.1134231716394425],1.0,False,True,0.6047854859337682,1,23.090893150458665,7.945,in_progress,0.0
0,3.0,-4.025728573410605,-0.16135420137878057,-95.62839876915744,9.83512669801712,1.0882372587919236,[9.83512669801712, 1.0882372587919236],1.0,False,True,0.6352269212505566,1,23.090893150458665,8.012,in_progress,0.0
0,4.0,-4.02675255563414,-0.18126041801004314,-95.38683006582528,-1.9185074418783188,1.0505998462438584,[-1.9185074418783188, 1.0505998462438584],1.0,False,True,0.7209950773069433,1,23.090893150458665,8.079,in_progress,0.0
0,5.0,-4.0308039382294805,-0.21870931644113872,-95.52804937445143,24.737977981567383,1.2,[24.737977981567383, 1.2],1.0,False,True,0.8817780798149722,2,23.090893150458665,8.144,in_progress,0.0
0,6.0,-4.025693303137965,-0.26724013919051354,-93.24259675129282,12.111075818538666,1.0720284670591353,[12.111075818538666, 1.0720284670591353],1.0,False,True,1.0929181597551405,2,23.090893150458665,8.207,in_progress,0.0
0,7.0,-4.0155386329878375,-0.32323709859093613,-90.18622722894031,4.613413363695145,1.1077043645083904,[4.613413363695145, 1.1077043645083904],1.0,False,True,1.3376823068397956,2,23.090893150458665,8.279,in_progress,0.0
0,8.0,-4.002826435005129,-0.38994066060096483,-87.28731227045667,2.142997160553932,1.1917505145072937,[2.142997160553932, 1.1917505145072937],1.0,False,True,1.629410439750741,3,23.090893150458665,8.343,in_progress,0.0
0,9.0,-3.9919871420006725,-0.46495350131969454,-85.73084666640727,7.969942688941956,1.1829599797725676,[7.969942688941956, 1.1829599797725676],1.0,False,True,1.9601677859794446,3,23.090893150458665,8.411,in_progress,0.0
0,10.0,-3.977481264056568,-0.5444453740355197,-83.8345467560235,8.38762879371643,1.1569990515708923,[8.38762879371643, 1.1569990515708923],1.0,False,True,2.309966787731955,3,23.090893150458665,8.477,in_progress,0.0
0,11.0,-3.955629401961419,-0.6237569709463342,-80.95797987481556,-4.408414363861084,1.0758716374635697,[-4.408414363861084, 1.0758716374635697],1.0,False,True,2.6638104330327703,4,23.090893150458665,8.542,in_progress,0.0
0,12.0,-3.938580730198816,-0.6969016028059378,-79.73366118427127,-15.709038376808167,1.1258384853601455,[-15.709038376808167, 1.1258384853601455],1.0,False,True,2.9881053818184022,4,23.090893150458665,8.609,in_progress,0.0
0,13.0,-3.9299715106545805,-0.7726317568433487,-80.87598997383768,-0.6627772562205791,1.2,[-0.6627772562205791, 1.2],1.0,False,True,3.3259841068199028,4,23.090893150458665,8.681000000000001,in_progress,0.0
0,14.0,-3.9241177962019806,-0.8561945881331141,-82.48683280831372,6.56661182641983,1.0236874282360078,[6.56661182641983, 1.0236874282360078],1.0,False,True,3.6837274949222705,4,23.090893150458665,8.742,in_progress,0.0
0,15.0,-3.9123484236428783,-0.9323596054980128,-82.06728228799497,12.389566898345947,1.0788282752037048,[12.389566898345947, 1.0788282752037048],1.0,False,True,4.016332512696766,5,23.090893150458665,8.812,in_progress,0.0
0,16.0,-3.893563525772133,-1.0102673281986467,-80.30144357363817,30.0,1.1091563381254672,[30.0, 1.1091563381254672],1.0,False,True,4.363397528386286,5,23.090893150458665,8.878,in_progress,0.0
0,17.0,-3.8677339159304522,-1.0806242654789244,-77.26459505279935,3.202807232737541,1.0512945026159286,[3.202807232737541, 1.0512945026159286],1.0,False,True,4.688846893638809,5,23.090893150458665,8.943,in_progress,0.0
0,18.0,-3.8386279113891004,-1.1507096515315347,-74.23190486396118,25.390650629997253,1.1346087753772736,[25.390650629997253, 1.1346087753772736],1.0,False,True,5.016958899917937,5,23.090893150458665,9.011,in_progress,0.0
0,19.0,-3.8043831916065893,-1.223389093367016,-71.27290072592913,26.853119730949402,1.0225253343582152,[26.853119730949402, 1.0225253343582152],1.0,False,True,5.3630185852747845,6,23.090893150458665,9.078,in_progress,0.0
0,20.0,-3.7656144049139852,-1.2909905386484062,-67.95633764819488,13.244014084339142,1.024345326423645,[13.244014084339142, 1.024345326423645],1.0,False,True,5.694782847606029,6,23.090893150458665,9.143,in_progress,0.0
0,21.0,-3.718765660297602,-1.3527252046914795,-63.351175741416505,-1.419539786875248,1.089967841655016,[-1.419539786875248, 1.089967841655016],1.0,False,True,6.052123397913363,6,23.090893150458665,9.208,in_progress,0.0
0,22.0,-3.6723149565165953,-1.413553990835444,-60.217320631995335,16.829198598861694,1.1403343558311463,[16.829198598861694, 1.1403343558311463],1.0,False,True,6.380001597328641,6,23.090893150458665,9.278,in_progress,0.0
0,23.0,-3.6191984167347013,-1.4761533009645074,-56.89415100494172,3.467678055167198,1.0714280962944032,[3.467678055167198, 1.0714280962944032],1.0,False,True,6.728558708585231,7,23.090893150458665,9.346,in_progress,0.0
0,24.0,-3.5604469407575436,-1.5272328048320318,-52.111286882291076,24.787087440490723,1.1748006343841553,[24.787087440490723, 1.1748006343841553],1.0,False,True,7.045264852462388,7,23.090893150458665,9.409,in_progress,0.0
0,25.0,-3.4948534490225036,-1.5716512272379888,-46.57132126248979,8.369953036308289,1.1328449070453643,[8.369953036308289, 1.1328449070453643],0.5,False,True,7.49245026499157,7,23.090893150458665,9.476,in_progress,0.0
0,26.0,-3.423422703850112,-1.6098766335418986,-40.91372381817857,-0.8856009319424629,1.1112804941833019,[-0.8856009319424629, 1.1112804941833019],0.5,False,True,7.825020012444904,8,23.090893150458665,9.54,in_progress,0.0
