episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,-4.02286821308912,-0.15449532034181956,-95.02236814108322,30.0,1.5,[30.0 1.5],0.0,False,True,0.6063469891273922,1,23.090893150458665,443.133,prepare,0.0
80,2.0,-4.02284931472658,-0.15437182324583734,-95.00122775598591,-14.390454644453218,1.046989964217676,[-14.390454644453218 1.046989964217676],1.0,False,True,0.6058182518481032,1,23.090893150458665,443.197,in_progress,0.0
80,3.0,-4.022234339598604,-0.15947894023491843,-94.7071867072999,2.096250591319837,1.1962900973137929,[2.096250591319837 1.1962900973137929],1.0,False,True,0.6280581613033387,1,23.090893150458665,443.269,in_progress,0.0
80,4.0,-4.019887856635802,-0.17848849066160485,-93.72765054479898,25.924352164026864,1.2196225821767728,[25.924352164026864 1.2196225821767728],1.0,False,True,0.7108542549989146,1,23.090893150458665,443.341,in_progress,0.0
80,5.0,-4.008201484185484,-0.20920556865231002,-90.52674910167723,30.0,1.3454400750966133,[30.0 1.3454400750966133],1.0,False,True,0.846759227073793,2,23.090893150458665,443.403,in_progress,0.0
80,6.0,-3.981745777591734,-0.2475077228300055,-84.15347948955763,-1.0656203540120117,1.0,[-1.0656203540120117 1.0],1.0,False,True,1.0194099237832404,2,23.090893150458665,443.472,in_progress,0.0
80,7.0,-3.9586844969596666,-0.2958033712865688,-79.95868810884612,-28.850863365601413,1.5,[-28.850863365601413 1.5],1.0,False,True,1.2343464228722418,2,23.090893150458665,443.532,in_progress,0.0
80,8.0,-3.948235664343429,-0.3444898679762451,-79.52592856809193,28.923455760543483,1.0966617663852833,[28.923455760543483 1.0966617663852833],1.0,False,True,1.4475906690378062,2,23.090893150458665,443.595,in_progress,0.0
80,9.0,-3.9373719764898403,-0.40964310629461226,-79.82691861818843,-30.0,1.3354061216639679,[-30.0 1.3354061216639679],1.0,False,True,1.7321220533062054,3,23.090893150458665,443.673,in_progress,0.0
80,10.0,-3.924661089505791,-0.4823657238302803,-79.94311170521092,-30.0,1.3454687003803256,[-30.0 1.3454687003803256],1.0,False,True,2.0788479859549454,3,23.090893150458665,443.737,in_progress,0.0
80,11.0,-3.931821544988501,-0.5622653747015696,-84.66106302363735,-30.0,1.1524636104665154,[-30.0 1.1524636104665154],1.0,False,True,2.4161871513052993,3,23.090893150458665,443.799,in_progress,0.0
80,12.0,-3.9477670862747463,-0.6337789339318015,-89.70804417256448,19.708035099293383,1.139109171591434,[19.708035099293383 1.139109171591434],1.0,False,True,2.711867283014029,4,23.090893150458665,443.868,in_progress,0.0
80,13.0,-3.9647271163504993,-0.7103004672643611,-93.80580351216683,23.419049393661588,1.4845502859755946,[23.419049393661588 1.4845502859755946],1.0,False,True,3.0283203709959303,4,23.090893150458665,443.932,in_progress,0.0
80,14.0,-3.9667003246779466,-0.7930993787275052,-92.99489822875059,15.755646953350642,1.1899212411615303,[15.755646953350642 1.1899212411615303],1.0,False,True,3.3748603301772166,4,23.090893150458665,444.001,in_progress,0.0
80,15.0,-3.953463062665088,-0.8853497565042561,-89.05602351710408,30.0,1.0,[30.0 1.0],1.0,False,True,3.7766751939108847,4,23.090893150458665,444.077,in_progress,0.0
80,16.0,-3.9299787154109813,-0.9666199841873013,-84.14538941110284,18.212892790821904,1.0,[18.212892790821904 1.0],1.0,False,True,4.14266794616192,5,23.090893150458665,444.14,in_progress,0.0
80,17.0,-3.9020637419617294,-1.0346393482343743,-79.49495805497848,30.0,1.2251096188718507,[30.0 1.2251096188718507],1.0,False,True,4.457373142459392,5,23.090893150458665,444.205,in_progress,0.0
80,18.0,-3.860938330722114,-1.1053120976544413,-73.32821326945431,7.257279062109262,1.0,[7.257279062109262 1.0],1.0,False,True,4.799485698215408,5,23.090893150458665,444.275,in_progress,0.0
80,19.0,-3.817965190601536,-1.1759105068565887,-68.53865513097251,7.483490202173897,1.047280013271206,[7.483490202173897 1.047280013271206],1.0,False,True,5.149509702549754,5,23.090893150458665,444.337,in_progress,0.0
80,20.0,-3.782318633695772,-1.2327602183659212,-65.75003695238696,25.648787587341758,1.0,[25.648787587341758 1.0],1.0,False,True,5.432857462032396,6,23.090893150458665,444.412,in_progress,0.0
80,21.0,-3.7308093010179895,-1.298359063829791,-61.38542237220293,15.673130464824546,1.5,[15.673130464824546 1.5],1.0,False,True,5.774639592196265,6,23.090893150458665,444.475,in_progress,0.0
80,22.0,-3.6770247492902435,-1.3520265292322933,-56.583440257285105,-9.830587187418445,1.0256037498170687,[-9.830587187418445 1.0256037498170687],1.0,False,True,6.136946498466001,6,23.090893150458665,444.54,in_progress,0.0
80,23.0,-3.6157695393966214,-1.4065785532504533,-51.72831165607823,30.0,1.0390729359888913,[30.0 1.0390729359888913],0.5,False,True,6.472060037671374,6,23.090893150458665,444.6,in_progress,0.0
80,24.0,-3.5635249747944577,-1.4547940658064424,-49.210822138699044,-4.786157394640874,1.019454700359427,[-4.786157394640874 1.019454700359427],0.5,False,True,6.7642761318579225,7,23.090893150458665,444.674,in_progress,0.0
80,25.0,-3.499092483244555,-1.5146674363505839,-47.08649138059867,30.0,1.0,[30.0 1.0],0.5,False,True,7.300171744280886,7,23.090893150458665,444.733,in_progress,0.0
80,26.0,-3.4488856415011377,-1.5611620479099158,-45.932798636413644,-8.463393388929035,1.0317396476499041,[-8.463393388929035 1.0317396476499041],0.5,False,True,7.5958192108225715,7,23.090893150458665,444.806,in_progress,0.0
