Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,1692.0,17.0,92.0,1692.0,0.0,2734.897723424,0.0,0.0,143.67106127738953,,,,,,,,,,,,,,,,,,,,,1351.7920329329606,167.53276746572848,1563.997777926556,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2048.0,18.0,356.0,2048.0,0.0,9110.538671965885,0.0,0.0,178.76159286499023,,,,,,,,,,,,,,,,,,,,,2002.7933620378024,352.17226579368963,2355.5508480191165,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2104.0,19.0,56.0,2104.0,0.0,1969.6279257839474,0.0,0.0,184.539400100708,,,,,,,,,,,,,,,,,,,,,1213.554343741135,91.65624306637774,1316.2304798376808,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2289.0,20.0,185.0,2289.0,0.0,5567.694440167601,0.0,0.0,202.70831394195557,,,,,,,,,,,,,,,,,,,,,1867.850711834854,385.7314348684239,2273.3727961933446,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,75.0,1.0,75.0,2364.0,0.0,2509.0549718184493,0.0,0.0,572.581663608551,,,,,,,,,,,,,,,,,,,,,1357.636706417675,169.08728873978077,1546.9437999601485,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,237.0,2.0,162.0,2526.0,0.0,4489.5626198474565,0.0,0.0,588.7933158874512,,,,,,,,,,,,,,,,,,,,,1639.4774809534645,286.1098021100233,1951.9878205112996,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,301.0,3.0,64.0,2590.0,0.0,2301.3883999818554,0.0,0.0,595.454596042633,,,,,,,,,,,,,,,,,,,,,1338.4848021521107,158.43297306503104,1507.1690302725426,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,402.0,4.0,101.0,2691.0,0.0,2897.9501321150165,0.0,0.0,605.4950964450836,,,,,,,,,,,,,,,,,,,,,1380.2481637375763,171.99289569051174,1577.5366446257153,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,608.0,5.0,206.0,2897.0,0.0,5192.478520550623,0.0,0.0,625.9778261184692,,,,,,,,,,,,,,,,,,,,,1659.059874666182,248.0114516662991,1877.1909714630663,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,664.0,6.0,56.0,2953.0,0.0,1879.2281881521571,0.0,0.0,631.7559952735901,,,,,,,,,,,,,,,,,,,,,1193.6350671503849,79.11576808290131,1276.5080421660596,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,786.0,7.0,122.0,3075.0,0.0,3380.0913594937906,0.0,0.0,643.9522094726562,,,,,,,,,,,,,,,,,,,,,1481.8005278672708,218.47311864042445,1727.0426388292772,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,870.0,8.0,84.0,3159.0,0.0,2478.731994559363,0.0,0.0,652.6670715808868,,,,,,,,,,,,,,,,,,,,,1302.2522137168246,134.54226119796965,1446.5103127394764,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,933.0,9.0,63.0,3222.0,0.0,2225.462602009504,0.0,0.0,659.4267797470093,,,,,,,,,,,,,,,,,,,,,1298.4557210465034,149.93765454866164,1450.105409988852,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,980.0,10.0,47.0,3269.0,0.0,1773.0339331492078,0.0,0.0,664.2812983989716,,,,,,,,,,,,,,,,,,,,,1186.6459518929717,74.46459499525001,1260.8852426718022,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,1042.0,11.0,62.0,3331.0,0.0,2206.655283004842,0.0,0.0,670.9393064975739,,,,,,,,,,,,,,,,,,,,,1288.235694310534,141.5548617665646,1441.401302460812,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1101.0,12.0,59.0,3390.0,0.0,2051.7122614402815,0.0,0.0,677.1863310337067,,,,,,,,,,,,,,,,,,,,,1254.8641417715246,113.81403506109437,1364.0448966577605,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1141.0,13.0,40.0,3430.0,0.0,1605.9074697596084,0.0,0.0,681.6521382331848,,,,,,,,,,,,,,,,,,,,,1127.4002199247707,52.38233725700985,1178.3974918780734,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1165.0,14.0,24.0,3454.0,0.0,1376.0223026423528,0.0,0.0,684.3759829998016,,,,,,,,,,,,,,,,,,,,,1081.3666987967024,43.6400622685413,1139.163651597943,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1471.0,15.0,306.0,3760.0,0.0,7411.502390690997,0.0,0.0,714.2715034484863,,,,,,,,,,,,,,,,,,,,,1840.2964950449211,284.8071060425182,2076.2421269374117,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1579.0,16.0,108.0,3868.0,0.0,3149.2201025285017,0.0,0.0,724.919905424118,,,,,,,,,,,,,,,,,,,,,1448.6938166699063,197.8473977553248,1670.804659540386,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1809.0,17.0,230.0,4098.0,0.0,6160.509959746877,0.0,0.0,747.6802730560303,,,,,,,,,,,,,,,,,,,,,1863.629864970301,321.2456988511434,2135.4760243095357,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,2174.0,18.0,365.0,4463.0,0.0,8836.0077828947,0.0,0.0,783.4635517597198,,,,,,,,,,,,,,,,,,,,,1899.914061956799,294.03941225301054,2184.9545459304795,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,2288.0,19.0,114.0,4577.0,0.0,3261.7523347365636,0.0,0.0,794.6445481777191,,,,,,,,,,,,,,,,,,,,,1465.7654687419508,199.74016090053973,1665.3110698671815,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,2404.0,20.0,116.0,4693.0,0.0,3367.5435177754507,0.0,0.0,806.1562032699585,,,,,,,,,,,,,,,,,,,,,1465.3050988310792,210.97490828935165,1706.3725546388148,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,89.0,1.0,89.0,4782.0,0.0,2740.670735757869,0.0,0.0,1183.3918261528015,,,,,,,,,,,,,,,,,,,,,1361.9356954481107,164.34682016350314,1560.4719346035024,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,177.0,2.0,88.0,4870.0,0.0,2813.424235034575,0.0,0.0,1192.193710565567,,,,,,,,,,,,,,,,,,,,,1439.2232190118114,190.97079821081695,1638.043198300502,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,581.0,3.0,404.0,5274.0,0.0,10063.20492907838,0.0,0.0,1231.8010835647583,,,,,,,,,,,,,,,,,,,,,1973.170250588252,332.1992983169869,2278.620229991104,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,673.0,4.0,92.0,5366.0,0.0,2964.053950357068,0.0,0.0,1241.2720901966095,,,,,,,,,,,,,,,,,,,,,1449.3128634279287,215.10739994135346,1687.4294181730816,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,923.0,5.0,250.0,5616.0,0.0,6440.414353373785,0.0,0.0,1266.3397092819214,,,,,,,,,,,,,,,,,,,,,1772.218572546341,314.42632257111313,2105.8913849707833,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
