Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,550.0,18.0,18.0,550.0,0.1,7.904,0.0,0.0,54.60547399520874,,,,,,,,,,,,,,,,,,,,,2.4553303615387656,2.7486331232675054,7.613550183576188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,568.0,19.0,18.0,568.0,0.1,7.004,0.0,0.0,56.83993196487427,,,,,,,,,,,,,,,,,,,,,2.0541387168555256,2.4045568325875766,6.7689572808550205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,589.0,20.0,21.0,589.0,0.1,9.904999999999996,0.0,0.0,59.142446756362915,,,,,,,,,,,,,,,,,,,,,3.0487873516844037,3.3974499661427604,9.452866703546855,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,22.0,1.0,22.0,611.0,0.1,10.503999999999996,0.0,0.0,120.2219729423523,,,,,,,,,,,,,,,,,,,,,3.2789412069819592,3.5309804096573343,9.981260008635818,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,47.0,2.0,25.0,636.0,0.1,13.403999999999996,0.0,0.0,122.89949321746826,,,,,,,,,,,,,,,,,,,,,4.4277647793081565,4.386693964377576,12.54673890947144,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,71.0,3.0,24.0,660.0,0.1,10.505999999999995,0.0,0.0,125.65125751495361,,,,,,,,,,,,,,,,,,,,,3.007449054631584,3.499941266741166,9.982871367093578,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,98.0,4.0,27.0,687.0,0.1,14.504999999999995,0.0,0.0,128.70757675170898,,,,,,,,,,,,,,,,,,,,,4.611460863870269,4.787141191009962,13.529135360427532,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,147.0,5.0,49.0,736.0,0.1,18.105000000000008,0.0,0.0,133.6463692188263,,,,,,,,,,,,,,,,,,,,,6.506345853092185,4.3735716702960135,15.219763832246528,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,167.0,6.0,20.0,756.0,0.1,10.303999999999997,0.0,0.0,135.92780756950378,,,,,,,,,,,,,,,,,,,,,3.445233312611794,3.525387225203493,9.810175836626508,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,186.0,7.0,19.0,775.0,0.1,7.005,0.0,0.0,138.03338432312012,,,,,,,,,,,,,,,,,,,,,1.9469410547903108,2.384902384743171,6.769800224048405,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,228.0,8.0,42.0,817.0,0.1,26.40400000000001,0.0,0.0,142.39111733436584,,,,,,,,,,,,,,,,,,,,,9.52595601569728,7.507266119425182,22.85797211856661,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,274.0,9.0,46.0,863.0,0.1,29.006000000000014,0.0,0.0,146.95067811012268,,,,,,,,,,,,,,,,,,,,,10.174355754367202,8.301394288456281,24.81970855319975,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,320.0,10.0,46.0,909.0,0.1,17.20400000000002,0.0,0.0,151.543035030365,,,,,,,,,,,,,,,,,,,,,4.233987911163142,4.775055457009823,15.566131579292879,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,341.0,11.0,21.0,930.0,0.1,9.004999999999995,0.0,0.0,153.96592330932617,,,,,,,,,,,,,,,,,,,,,2.626466268009508,3.062301240123151,8.62508119958984,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,364.0,12.0,23.0,953.0,0.1,12.903999999999996,0.0,0.0,156.5847635269165,,,,,,,,,,,,,,,,,,,,,4.366123869724923,4.3603690333554015,12.14140547899527,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,427.0,13.0,63.0,1016.0,0.1,44.705,0.0,0.0,162.99880838394165,,,,,,,,,,,,,,,,,,,,,16.001044331316518,12.031727592116143,35.32735646492254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,451.0,14.0,24.0,1040.0,0.1,14.403999999999996,0.0,0.0,165.71776390075684,,,,,,,,,,,,,,,,,,,,,5.036389578132815,4.8451329934661205,13.46318386006338,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,471.0,15.0,20.0,1060.0,0.1,9.403999999999996,0.0,0.0,168.03074097633362,,,,,,,,,,,,,,,,,,,,,2.9840684773188317,3.204954450315327,8.986007860969526,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,509.0,16.0,38.0,1098.0,0.1,21.90400000000001,0.0,0.0,171.9695339202881,,,,,,,,,,,,,,,,,,,,,8.014485159802343,6.076685047695549,19.241399489108364,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,535.0,17.0,26.0,1124.0,0.1,15.003999999999996,0.0,0.0,174.86556363105774,,,,,,,,,,,,,,,,,,,,,5.040322575287811,4.978816012294391,13.971549974926198,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,587.0,18.0,52.0,1176.0,0.1,31.90600000000002,0.0,0.0,180.24412274360657,,,,,,,,,,,,,,,,,,,,,10.043009266325367,9.25845674002703,27.225421060617073,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,615.0,19.0,28.0,1204.0,0.1,15.904999999999996,0.0,0.0,183.2540340423584,,,,,,,,,,,,,,,,,,,,,5.239735854922458,5.194736434881195,14.73102128417683,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,649.0,20.0,34.0,1238.0,0.1,21.104000000000013,0.0,0.0,186.95854353904724,,,,,,,,,,,,,,,,,,,,,7.238426597754854,6.6420957376190275,19.021462051589985,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,123.0,1.0,123.0,1361.0,0.1,73.10799999999998,0.0,0.0,267.1274383068085,,,,,,,,,,,,,,,,,,,,,21.732547172602118,14.76226668836855,47.3186072622175,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,167.0,2.0,44.0,1405.0,0.1,33.803,0.0,0.0,271.46973609924316,,,,,,,,,,,,,,,,,,,,,12.953261208672126,9.497866312311539,28.67418127556805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,189.0,3.0,22.0,1427.0,0.1,10.904999999999996,0.0,0.0,273.9976873397827,,,,,,,,,,,,,,,,,,,,,3.4217858655235798,3.722659388337874,10.358338036511386,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,211.0,4.0,22.0,1449.0,0.1,10.004999999999995,0.0,0.0,276.7047095298767,,,,,,,,,,,,,,,,,,,,,2.981783350541713,3.394178499220236,9.538830387593938,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,246.0,5.0,35.0,1484.0,0.1,21.005000000000013,0.0,0.0,280.31426334381104,,,,,,,,,,,,,,,,,,,,,7.20198541602404,6.6061571519936955,18.859611370667874,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
