episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-4.022603829310173,-0.13426759124427956,93.54947166018484,30.0,1.1871154957867252,[30.0, 1.1871154957867252],0.0,False,True,0.6065122365311186,1,23.090893150458662,20.99,prepare,0.0
0,2.0,-4.022596658186508,-0.1344290784728956,93.54953400483365,-30.0,1.1710320700901076,[-30.0, 1.1710320700901076],1.0,False,True,0.605818251848105,1,23.090893150458662,21.061,in_progress,0.0
0,3.0,-4.021563799570952,-0.12487175989738114,93.20769620862251,-0.9188466558187613,1.134261240374501,[-0.9188466558187613, 1.134261240374501],1.0,False,True,0.6474406082758977,1,23.090893150458662,21.131,in_progress,0.0
0,4.0,-4.0218255682437265,-0.10134546587929444,92.9076418166962,-7.0687608184309845,1.011980811013075,[-7.0687608184309845, 1.011980811013075],1.0,False,True,0.7488394802888704,1,23.090893150458662,21.184,in_progress,0.0
0,5.0,-4.026246889961821,-0.06618601207448835,93.52039581179088,-13.390492964075563,1.1165196082642912,[-13.390492964075563, 1.1165196082642912],1.0,False,True,0.898856015426438,2,23.090893150458662,21.253,in_progress,0.0
0,6.0,-4.025513554262335,-0.01874104903518775,92.6470158558939,11.814486171266054,1.1693686069986913,[11.814486171266054, 1.1693686069986913],1.0,False,True,1.1038210714556569,2,23.090893150458662,21.319,in_progress,0.0
0,7.0,-4.0318643944218575,0.03971525744130444,93.47017840366809,17.589524442301844,1.1542705265375977,[17.589524442301844, 1.1542705265375977],1.0,False,True,1.353616976957755,2,23.090893150458662,21.392,in_progress,0.0
0,8.0,-4.053504497382539,0.09684395590947434,97.64906811717323,2.8869145384233548,1.2,[2.8869145384233548, 1.2],1.0,False,True,1.5919129937606025,3,23.090893150458662,21.456,in_progress,0.0
0,9.0,-4.07927456475907,0.1648458424708002,101.25582378947053,-0.15191205974599598,1.0797660363313206,[-0.15191205974599598, 1.0797660363313206],1.0,False,True,1.8755591565036394,3,23.090893150458662,21.526,in_progress,0.0
0,10.0,-4.104336832320872,0.2385548266692039,103.49892691258964,-30.0,1.2,[-30.0, 1.2],0.5,False,True,2.088694831526299,3,23.090893150458662,21.588,in_progress,0.0
0,11.0,-4.125569262711351,0.3063753041327979,104.59868329779596,30.0,1.0,[30.0, 1.0],0.5,False,True,2.3473923563359684,3,23.090893150458662,21.657,in_progress,0.0
0,12.0,-4.148162461743223,0.3882996209978245,104.8641276118178,28.537246045446103,1.1561908040495972,[28.537246045446103, 1.1561908040495972],0.5,False,True,2.663405042180264,4,23.090893150458662,21.727,in_progress,0.0
