episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
100,1.0,-4.022574787642812,-0.13403474016978678,93.57281421254875,12.161253146376325,1.1397233738519428,[12.161253146376325, 1.1397233738519428],0.0,False,True,0.6075277725582002,1,23.090893150458662,412.993,prepare,0.0
100,2.0,-4.022606361016061,-0.13436243908572404,93.54157723308445,-30.0,1.0295221912575585,[-30.0, 1.0295221912575585],1.0,False,True,0.6061020858895115,1,23.090893150458662,413.057,in_progress,0.0
100,3.0,-4.019968078942883,-0.12685655043724667,92.93045116414274,-24.347982391173545,1.1059916249391983,[-24.347982391173545, 1.1059916249391983],1.0,False,True,0.6394802240095948,1,23.090893150458662,413.116,in_progress,0.0
100,4.0,-4.005481353723729,-0.10324835203740168,89.09627528068738,-30.0,1.0,[-30.0, 1.0],1.0,False,True,0.7468005791025508,1,23.090893150458662,413.184,in_progress,0.0
100,5.0,-3.987746544417017,-0.0752748366719814,84.9085686413361,-7.135373922528252,1.0,[-7.135373922528252, 1.0],1.0,False,True,0.8741801668555649,2,23.090893150458662,413.26,in_progress,0.0
100,6.0,-3.965536552679284,-0.030913736300711175,80.45945740553401,-19.357507030299406,1.2,[-19.357507030299406, 1.2],1.0,False,True,1.0739490206225033,2,23.090893150458662,413.326,in_progress,0.0
100,7.0,-3.944345830108912,0.016808681731450434,77.39905249385856,-30.0,1.1613803946903785,[-30.0, 1.1613803946903785],1.0,False,True,1.287834537669872,2,23.090893150458662,413.385,in_progress,0.0
100,8.0,-3.9051724482565344,0.07075104893587833,71.36651253064973,-6.891422714142141,1.2,[-6.891422714142141, 1.2],1.0,False,True,1.535343460353068,3,23.090893150458662,413.459,in_progress,0.0
100,9.0,-3.8657188142432837,0.1255715722184253,66.61191745021209,19.973334959104847,1.2,[19.973334959104847, 1.2],0.5,False,True,1.7867467510485342,3,23.090893150458662,413.517,in_progress,0.0
100,10.0,-3.8354391537141606,0.18377969817839784,65.40511771829388,4.841144931630808,1.0,[4.841144931630808, 1.0],0.5,False,True,2.16959403750715,3,23.090893150458662,413.593,in_progress,0.0
100,11.0,-3.8117844019449323,0.25405441173399507,67.0900223923327,-18.09704065392931,1.2,[-18.09704065392931, 1.2],0.5,False,True,2.4902157658122985,3,23.090893150458662,413.666,in_progress,0.0
