episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
120,1.0,-4.022671855237482,-0.13414348194343254,93.53677184016459,-14.684710508179013,1.0,[-14.684710508179013, 1.0],0.0,False,True,0.6070219894128734,1,23.090893150458662,601.192,prepare,0.0
120,2.0,-4.022596658186512,-0.13442907847283928,93.54953400483365,-30.0,1.2,[-30.0, 1.2],1.0,False,True,0.6058182518481025,1,23.090893150458662,601.254,in_progress,0.0
120,3.0,-4.024733025841073,-0.12854704860586832,94.07080198135984,-30.0,1.1590473873434624,[-30.0, 1.1590473873434624],1.0,False,True,0.6303880839004401,1,23.090893150458662,601.324,in_progress,0.0
120,4.0,-4.016290714197839,-0.11189918484331038,91.72436655401899,-10.354969271889335,1.1916947174219863,[-10.354969271889335, 1.1916947174219863],1.0,False,True,0.7053979960973794,1,23.090893150458662,601.349,in_progress,0.0
120,5.0,-4.009216035780826,-0.0820887123515543,89.78032426593332,15.844217994961028,1.0,[15.844217994961028, 1.0],1.0,False,True,0.8366780147582427,1,23.090893150458662,601.453,in_progress,0.0
120,6.0,-4.00901110678108,-0.018141623080432268,89.82276843837761,-0.915192195782673,1.0,[-0.915192195782673, 1.0],1.0,False,True,1.112637444071831,2,23.090893150458662,601.521,in_progress,0.0
120,7.0,-4.013453976369102,0.014849202504449988,90.99787122223049,6.75135884540461,1.1206702243542312,[6.75135884540461, 1.1206702243542312],1.0,False,True,1.2532898963622037,2,23.090893150458662,601.59,in_progress,0.0
120,8.0,-4.015760812398437,0.07226322642490049,91.2879247666063,-5.495786833530403,1.0,[-5.495786833530403, 1.0],1.0,False,True,1.5001159301721139,2,23.090893150458662,601.661,in_progress,0.0
120,9.0,-4.01260183498782,0.13894232506143728,90.23195600635886,-9.88011783671148,1.0,[-9.88011783671148, 1.0],1.0,False,True,1.7889771275789395,3,23.090893150458662,601.727,in_progress,0.0
120,10.0,-4.002214437040797,0.20084979892685154,87.84038147993205,10.275083335285949,1.0,[10.275083335285949, 1.0],1.0,False,True,2.048853247938242,3,23.090893150458662,601.79,in_progress,0.0
120,11.0,-3.991473031462946,0.27240094959407624,86.09223933806956,-30.0,1.2,[-30.0, 1.2],1.0,False,True,2.359936965353278,3,23.090893150458662,601.86,in_progress,0.0
120,12.0,-3.9810336258610315,0.3407586366212978,84.76159931823253,-30.0,1.0,[-30.0, 1.0],1.0,False,True,2.6573406753269313,4,23.090893150458662,601.923,in_progress,0.0
120,13.0,-3.9578079914900153,0.40552118331777176,80.90927691906585,-17.837675714126426,1.2,[-17.837675714126426, 1.2],1.0,False,True,2.954455746248388,4,23.090893150458662,601.992,in_progress,0.0
120,14.0,-3.9271915373727686,0.4696994325687649,76.35311581972778,16.71468229068573,1.1841419800575435,[16.71468229068573, 1.1841419800575435],1.0,False,True,3.2381774161572308,4,23.090893150458662,602.056,in_progress,0.0
120,15.0,-3.8926837992860808,0.5383709232338708,72.35144325156921,-30.0,1.0552729558109366,[-30.0, 1.0552729558109366],1.0,False,True,3.5706531096240135,4,23.090893150458662,602.129,in_progress,0.0
120,16.0,-3.854240177972051,0.6093604158030363,69.01165952151021,0.2768836499560443,1.1783671539490204,[0.2768836499560443, 1.1783671539490204],1.0,False,True,3.920230871314195,5,23.090893150458662,602.189,in_progress,0.0
120,17.0,-3.8194374397471385,0.6678088431411011,66.39078000532453,-30.0,1.1167192373444745,[-30.0, 1.1167192373444745],1.0,False,True,4.214736527161589,5,23.090893150458662,602.266,in_progress,0.0
120,18.0,-3.775103514833036,0.7410836621750907,63.95012151219936,3.0592813371086294,1.122703552243128,[3.0592813371086294, 1.122703552243128],1.0,False,True,4.555701629050611,5,23.090893150458662,602.322,in_progress,0.0
120,19.0,-3.7418937259501996,0.7973361896257138,62.82090838270219,-30.0,1.054889788114147,[-30.0, 1.054889788114147],1.0,False,True,4.827368561336214,5,23.090893150458662,602.393,in_progress,0.0
120,20.0,-3.70099045030038,0.8680968435788873,61.8677395970346,-14.183997691789793,1.0043360924079072,[-14.183997691789793, 1.0043360924079072],1.0,False,True,5.166351436882522,5,23.090893150458662,602.456,in_progress,0.0
120,21.0,-3.648616592490058,0.9277881182123903,57.85345807420066,-30.0,1.016224747592602,[-30.0, 1.016224747592602],1.0,False,True,5.508677779007949,6,23.090893150458662,602.526,in_progress,0.0
120,22.0,-3.598127022566322,0.9765027449850586,54.13437363721024,23.902509952912403,1.056137432196035,[23.902509952912403, 1.056137432196035],1.0,False,True,5.81249224100805,6,23.090893150458662,602.563,in_progress,0.0
120,23.0,-3.5438218069709366,1.0294816237565119,51.22703843496478,-22.6762334014486,1.0262085772168243,[-22.6762334014486, 1.0262085772168243],1.0,False,True,6.024393234833179,6,23.090893150458662,602.657,in_progress,0.0
120,24.0,-3.49123909495144,1.0838020571036084,49.62145926131738,-23.219687064578064,1.1917981085855238,[-23.219687064578064, 1.1917981085855238],0.5,False,True,6.330927925436544,6,23.090893150458662,602.726,in_progress,0.0
120,25.0,-3.432359300115169,1.1261937359832235,45.68920350369054,-30.0,1.1195840395045296,[-30.0, 1.1195840395045296],0.5,False,True,6.639978494784114,7,23.090893150458662,602.789,in_progress,0.0
120,26.0,-3.3695947163034266,1.1596149182916726,40.81286332146284,-8.455312929778277,1.1931521691535698,[-8.455312929778277, 1.1931521691535698],0.5,False,True,6.947592101553196,7,23.090893150458662,602.854,in_progress,0.0
120,27.0,-3.2989966706241476,1.1978716164058154,37.05824519412589,-20.523942226851496,1.0682543091316234,[-20.523942226851496, 1.0682543091316234],0.5,False,True,7.139749599920717,7,23.090893150458662,602.928,in_progress,0.0
120,28.0,-3.2323190669152324,1.231401059036252,34.13110414639656,30.0,1.2,[30.0, 1.2],0.5,False,True,7.445876664594911,7,23.090893150458662,602.994,in_progress,0.0
120,29.0,-3.1692965363116268,1.265575985588084,32.53905086137621,-30.0,1.083749775892632,[-30.0, 1.083749775892632],0.5,False,True,7.7417119076313305,7,23.090893150458662,603.034,in_progress,0.0
120,30.0,-3.1053470192246118,1.3043922231476794,32.165816687699056,-30.0,1.0,[-30.0, 1.0],0.5,False,True,8.045257849935597,8,23.090893150458662,603.125,in_progress,0.0
120,31.0,-3.0428319283912026,1.332172736585276,30.015521110678254,-12.25605143666747,1.2,[-12.25605143666747, 1.2],0.5,False,True,8.333744145252588,8,23.090893150458662,603.19,in_progress,0.0
120,32.0,-2.9682108511545087,1.3589053978208487,26.83456861872588,26.355188880007212,1.2,[26.355188880007212, 1.2],0.5,False,True,8.483394986257807,8,23.090893150458662,603.262,in_progress,0.0
